Country,Years,Homicide,Burglary,Rape,Theft,Education,GDP,Unemployment,Migration
Bermuda,2009,0.5121187153672537,0.9723836747573257,0.5342146423283259,0.844417642523258,-0.1,0.9593098159438482,-0.1,-0.1
Bhutan,2009,0,0.5317194194198872,0.4335192224919382,0.4672380310725701,-0.1,0.6282998355010642,0.39999999999999997,-0.1
"Bolivia (Plurinational State of)",2009,0.5121187153672537,-0.1,0.6985404826001222,0.4811060953222274,-0.1,0.6278289909735564,0.3169925001442312,-0.1
"Bosnia and Herzegovina",2009,0.16155546744299637,0.7656166961148824,0,0.5843787838592859,-0.1,0.7073770928570554,0.9169925001442312,-0.1
Botswana,2009,0.6150990041544092,0.7726528797844463,0.9949364909060538,0.8366552615999719,-0.1,0.7175477637528597,-0.1,-0.1
Brazil,2009,0.7308061663181457,0.6923963155836516,0.6311968960464687,0.8181296570967223,-0.1,0.7589037540869378,0.6,-0.1
"British Virgin Islands",2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.8732641462173651,-0.1,-0.1
"Brunei Darussalam",2009,0,-0.1,-0.1,-0.1,-0.1,0.8669633063809202,-0.1,-0.1
Bulgaria,2009,0.16155546744299637,0.7607086642267901,0.24475412980126737,0.754001870943711,-0.1,0.7421501850931876,0.5614709844115208,-0.1
"Burkina Faso",2009,0,-0.1,-0.1,-0.1,-0.1,0.5297336690760724,-0.1,-0.1
Burundi,2009,0.32311093488599274,-0.1,0.4335192224919382,-0.1,-0.1,0.4419958176161263,-0.1,-0.1
"Cabo Verde",2009,0.4846664023289891,-0.1,-0.1,-0.1,-0.1,0.6851089125585043,-0.1,-0.1
Cambodia,2009,0.16155546744299637,-0.1,-0.1,-0.1,-0.1,0.5537573467959164,-0.1,-0.1
Cameroon,2009,0.41761482512662323,-0.1,0.15442266280111014,0.4993006342747526,-0.1,0.5924041479325454,-0.1,-0.1
Canada,2009,0.16155546744299637,0.8471708648531788,0,0.8933078870223417,-0.1,0.8904162092767591,0.6,-0.1
"Cayman Islands",2009,0.6311795364221808,-0.1,-0.1,-0.1,-0.1,0.9251595429506387,-0.1,-0.1
"Central African Republic",2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.5153431931800765,-0.1,-0.1
Chad,2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.5621167163308353,-0.1,-0.1
Chile,2009,0.32311093488599274,0.8685192691739353,0.6674036448474354,0.8445234657340146,-0.1,0.7745881770090929,0.6643856189774724,-0.1
China,2009,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
"China. Hong Kong SAR",2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.8671760538266787,-0.1,-0.1
"China. Hong Kong Special Administrative Region",2009,0,-0.1,0.15442266280111014,0.7453811217692886,-0.1,-0.1,0.4643856189774725,-0.1
"China. Macao Special Administrative Region",2009,0,-0.1,0.3088453256022203,0.7594948886881377,-0.1,0.8915586188137304,0.39999999999999997,-0.1
"China. People's Republic of",2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.6924810788431631,-0.1,-0.1
Colombia,2009,0.8219074374170731,0.5649162111946102,0.46326798840333033,0.6396457647626335,-0.1,0.7170764358376301,0.7169925001442312,-0.1
Comoros,2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.6123707420666572,-0.1,-0.1
Congo,2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.6517776664471566,0.7999999999999999,-0.1
"Cook Islands",2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.7780944143984261,-0.1,-0.1
"Costa Rica",2009,0.5791702925696196,0.7972428075310557,0.798353585204755,0.7162742475112477,-0.1,0.7405391735290691,0.6,-0.1
"Cote d'Ivoire",2009,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Croatia,2009,0,0.7894320993257267,0.24475412980126737,0.6777721710995085,-0.1,0.8037541254665199,0.6339850002884624,-0.1
Cuba,2009,0.3751201787385539,-0.1,-0.1,-0.1,-0.1,0.7225495366845164,0.19999999999999998,-0.1
Cura̤ao,2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.8306254956925616,-0.1,-0.1
Cyprus,2009,0.16155546744299637,0.7183303708729766,0.15442266280111014,0.5727513400055142,-0.1,0.8706524995735724,0.4643856189774725,-0.1
"Czech Republic",2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.8295404384258747,-0.1,-0.1
Czechia,2009,0,0.8270971032798369,0.3585583192452152,0.8629244220284558,-0.1,-0.1,0.5614709844115208,-0.1
"C̫te d'Ivoire",2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.5971639650359273,-0.1,-0.1
"Democratic People's Republic of Korea",2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.5204192433495591,-0.1,-0.1
"Democratic Republic of the Congo",2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.47456189012081224,-0.1,-0.1
Denmark,2009,0,1,0.3991767926023775,0.9758534579851884,-0.1,0.9205055346770242,0.5169925001442313,-0.1
Djibouti,2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.5972999525448135,-0.1,-0.1
Dominica,2009,0.67367418281025,-0.1,-0.1,-0.1,-0.1,0.7431953230810117,0.7614709844115207,-0.1
"Dominican Republic",2009,0.7407257600126159,-0.1,-0.1,-0.1,-0.1,0.7129851772322289,0.7813781191217037,-0.1
Ecuador,2009,0.67367418281025,-0.1,0.6033124490464826,0.3401454648684628,-0.1,0.7011112531573789,0.5169925001442313,-0.1
Egypt,2009,0,0,-0.1,0.4720409285204247,-0.1,0.6508138543539345,0.6339850002884624,-0.1
"El Salvador",2009,1,0.3486001072523802,0.3991767926023775,0.6158772994544447,-0.1,0.6830317288648472,0.5614709844115208,-0.1
"Equatorial Guinea",2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.836035552524945,-0.1,-0.1
Eritrea,2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.5035443620049328,-0.1,-0.1
Estonia,2009,0.3751201787385539,-0.1,0.48950825960253475,0.8991520388257812,-0.1,0.8052033648683963,0.7614709844115207,-0.1
Ethiopia,2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.48682253352211147,-0.1,-0.1
Fiji,2009,0.16155546744299637,-0.1,-0.1,-0.1,-0.1,0.6815265684453672,0.6339850002884624,-0.1
Finland,2009,0.16155546744299637,0.777143714390753,0.5535994554034877,0.9308723224788307,-0.1,0.9027945517189013,0.6,-0.1
"Former Netherlands Antilles",2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.8266279635163969,-0.1,-0.1
France,2009,0,0.8240369047537812,0.6176906512044406,0.9048529236883336,-0.1,0.892401803468932,0.6339850002884624,-0.1
"French Guiana",2009,0.5978262684089138,-0.1,-0.1,-0.1,-0.1,-0.1,0.8643856189774725,-0.1
"French Polynesia",2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.8486852627403034,-0.1,-0.1
Gabon,2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.7514544929023901,-0.1,-0.1
Gambia,2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.5294291160207644,-0.1,-0.1
Georgia,2009,0.3751201787385539,0.7556112087694253,0.15442266280111014,0.6707850985645857,-0.1,0.6566385460671098,0.8174925682500678,-0.1
Germany,2009,0,0.815511839709534,0.48950825960253475,0.8792729138400228,-0.1,0.8940849167060051,0.6,-0.1
Ghana,2009,0.16155546744299637,-0.1,-0.1,-0.1,-0.1,0.5872814648671093,-0.1,-0.1
