Country,Years,Homicide,Burglary,Rape,Theft,Education,GDP,Unemployment,Migration
Cameroon,2011,0.24238018168771028,0.14633159830528417,0.24663822005799546,0.5284773373188328,0.9606595388815916,0.5911207192896454,-0.1,-0.1
Canada,2011,0.15292486830283214,0.8340104105814747,0.15561139140249397,0.8717925529955536,0.43972321460613517,0.8990121902462683,0.6055472597462995,-0.1
"Cayman Islands",2011,-0.1,-0.1,-0.1,-0.1,-0.1,0.9099843410831383,-0.1,-0.1
"Central African Republic",2011,-0.1,-0.1,-0.1,-0.1,1,0.5146464027086555,-0.1,-0.1
Chad,2011,-0.1,-0.1,-0.1,-0.1,0.9979575274217366,0.5640552649340315,0.5217723196195461,-0.1
Chile,2011,0.3058497366056643,0.8767044284816996,0.6834946256400193,0.8466453990493654,0.6946675214863857,0.7939671376374837,0.5666620267290895,-0.1
China,2011,0,-0.1,-0.1,-0.1,0.8593257983706204,-0.1,-0.1,-0.1
"China. Hong Kong SAR",2011,-0.1,-0.1,-0.1,-0.1,-0.1,0.8671318628872311,-0.1,-0.1
"China. Hong Kong Special Administrative Region",2011,-0.1,-0.1,0,0.7405178942068552,-0.1,-0.1,0.31992323303744613,-0.1
"China. Macao Special Administrative Region",2011,0,-0.1,0.3613184615819645,0.7617830142186502,-0.1,0.9204333002477292,0.31992323303744613,-0.1
"China. People's Republic of",2011,-0.1,-0.1,-0.1,-0.1,-0.1,0.7144028095337894,-0.1,-0.1
Colombia,2011,0.7779995849937603,0.5696380743859796,0.46683417420748186,0.6422255179523633,0.8696509813200475,0.7358473056570486,0.6982831123151736,-0.1
Comoros,2011,-0.1,-0.1,-0.1,-0.1,0.9692027241510822,0.6065037400991808,-0.1,-0.1
Congo,2011,-0.1,-0.1,-0.1,-0.1,0.9367572128666263,0.6767796600811782,-0.1,-0.1
"Congo (Democratic Republic of the)",2011,-0.1,-0.1,-0.1,-0.1,0.9874040487300366,-0.1,-0.1,-0.1
"Cook Islands",2011,-0.1,-0.1,-0.1,-0.1,-0.1,0.7907655059141224,-0.1,-0.1
"Costa Rica",2011,0.5080054164221279,0.7922589941149845,0.8044992229209789,0.727604065553057,0.8000957084535689,0.7557079527246515,0.6055472597462995,-0.1
"Cote d'Ivoire",2011,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Croatia,2011,0,0.8128410378369855,0.24663822005799546,0.7053219450333547,0.7269559209843837,0.7933114543516776,0.7685111133111894,-0.1
Cuba,2011,0.35508054811929585,-0.1,-0.1,-0.1,0.8057967098895799,0.722324003970526,0.31992323303744613,-0.1
Cura̤ao,2011,-0.1,-0.1,-0.1,-0.1,-0.1,0.8209511502876538,-0.1,-0.1
Cyprus,2011,0,0.7610507021846236,0.24663822005799546,0.5984266127716251,0.6677258310673322,0.8596618524144314,0.6055472597462995,-0.1
"Czech Republic",2011,-0.1,-0.1,-0.1,-0.1,0.6363489815848867,0.8266539530070716,-0.1,-0.1
Czechia,2011,0,0.8442801997020893,0.40224961146048943,0.8436509375420083,-0.1,-0.1,0.5666620267290895,-0.1
"C̫te d'Ivoire",2011,-0.1,-0.1,-0.1,-0.1,0.981900227864634,0.5902611820220178,-0.1,-0.1
"Democratic People's Republic of Korea",2011,-0.1,-0.1,-0.1,-0.1,-0.1,0.5348302760785268,-0.1,-0.1
"Democratic Republic of the Congo",2011,-0.1,-0.1,-0.1,-0.1,-0.1,0.49191963809626105,-0.1,-0.1
Denmark,2011,0,0.9863880349933003,0.60795668163996,1,0.30735333721989844,0.9134061980048326,0.6055472597462995,-0.1
Djibouti,2011,-0.1,-0.1,-0.1,-0.1,0.9830137550176481,0.5982385891085059,-0.1,-0.1
Dominica,2011,0.45877460490849636,-0.1,-0.1,-0.1,0.8716506788134264,0.7334528444674495,0.6982831123151736,-0.1
"Dominican Republic",2011,0.7101610962385917,-0.1,-0.1,-0.1,0.8775271229495748,0.7174341126230545,0.7886022980997756,-0.1
Ecuador,2011,0.5974607298070062,-0.1,0.5758305733409879,0.5180992190360076,0.8571920402429762,0.7089423608937827,0.4036981731641997,-0.1
Egypt,2011,0.24238018168771028,0.14633159830528417,-0.1,0.5539509863027513,0.8993759951398651,0.6560611852637181,0.723621406201646,-0.1
"El Salvador",2011,0.943534968283917,0.2769748777754113,0.3613184615819645,0.6193801580978203,0.9094293355299821,0.6830585457971494,0.5666620267290895,-0.1
"Equatorial Guinea",2011,-0.1,-0.1,-0.1,-0.1,0.9367572128666263,0.8491816277824509,-0.1,-0.1
Eritrea,2011,-0.1,-0.1,-0.1,-0.1,0.9906317768176537,0.521630892793037,-0.1,-0.1
Estonia,2011,0.35508054811929585,-0.1,0.43685640558202377,0.8737719067267288,0.6495245064883778,0.808822005235888,0.723621406201646,-0.1
Ethiopia,2011,-0.1,-0.1,-0.1,-0.1,0.9852215179381844,0.4824648553791873,-0.1,-0.1
